timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666976112077,103,Delete Users,200,OK,endurance 1-13,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,103,0,0
1666976112180,101,Get User by ID,200,OK,endurance 1-13,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,101,0,0
1666976113621,434,Get Users,200,OK,endurance 1-14,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,434,0,322
1666976114055,101,Delete Users,200,OK,endurance 1-14,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,101,0,0
1666976114156,104,Get User by ID,200,OK,endurance 1-14,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,104,0,0
1666976115620,432,Get Users,200,OK,endurance 1-15,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,432,0,330
1666976116053,100,Delete Users,200,OK,endurance 1-15,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,100,0,0
1666976116154,101,Get User by ID,200,OK,endurance 1-15,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,101,0,0
1666976117625,430,Get Users,200,OK,endurance 1-16,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,430,0,312
1666976118056,103,Delete Users,200,OK,endurance 1-16,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,103,0,0
1666976118160,106,Get User by ID,200,OK,endurance 1-16,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,106,0,0
1666976119625,430,Get Users,200,OK,endurance 1-17,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,430,0,322
1666976120055,104,Delete Users,200,OK,endurance 1-17,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,104,0,0
1666976120159,100,Get User by ID,200,OK,endurance 1-17,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,100,0,0
